"n" "Min_V" "d1" "d2" "d3" "d4" "d5" "d6" "d7" "d8" "d9" "d10" "d11" "d12"
1024 0 0 0 0 0 0 0 0 0 0 1024 0 0
1025 0.00194741225461035 0 0 0 0 0 0 0 0 0 1023 2 0
1026 0.00388343611899578 0 0 0 0 0 0 0 0 0 1022 4 0
1027 0.00580812701651325 0 0 0 0 0 0 0 0 0 1021 6 0
1028 0.00772154006873685 0 0 0 0 0 0 0 0 0 1020 8 0
1029 0.00962373009734228 0 0 0 0 0 0 0 0 0 1019 10 0
1030 0.0115147516259779 0 0 0 0 0 0 0 0 0 1018 12 0
1031 0.0133946588821227 0 0 0 0 0 0 0 0 0 1017 14 0
1032 0.0152635057989304 0 0 0 0 0 0 0 0 0 1016 16 0
1033 0.0171213460170614 0 0 0 0 0 0 0 0 0 1015 18 0
1034 0.0189682328865011 0 0 0 0 0 0 0 0 0 1014 20 0
1035 0.0208042194683657 0 0 0 0 0 0 0 0 0 1013 22 0
1036 0.0226293585366944 0 0 0 0 0 0 0 0 0 1012 24 0
1037 0.0244437025802306 0 0 0 0 0 0 0 0 0 1011 26 0
1038 0.0262473038041884 0 0 0 0 0 0 0 0 0 1010 28 0
1039 0.0280402141320085 0 0 0 0 0 0 0 0 0 1009 30 0
1040 0.0298224852071006 0 0 0 0 0 0 0 0 0 1008 32 0
1041 0.0315941683945737 0 0 0 0 0 0 0 0 0 1007 34 0
1042 0.0333553147829547 0 0 0 0 0 0 0 0 0 1006 36 0
1043 0.0351059751858944 0 0 0 0 0 0 0 0 0 1005 38 0
1044 0.0368462001438617 0 0 0 0 0 0 0 0 0 1004 40 0
1045 0.0385760399258259 0 0 0 0 0 0 0 0 0 1003 42 0
1046 0.0402955445309272 0 0 0 0 0 0 0 0 0 1002 44 0
1047 0.0420047636901357 0 0 0 0 0 0 0 0 0 1001 46 0
1048 0.0437037468678981 0 0 0 0 0 0 0 0 0 1000 48 0
1049 0.0453925432637738 0 0 0 0 0 0 0 0 0 999 50 0
1050 0.047071201814059 0 0 0 0 0 0 0 0 0 998 52 0
1051 0.0487397711933992 0 0 0 0 0 0 0 0 0 997 54 0
1052 0.0503982998163917 0 0 0 0 0 0 0 0 0 996 56 0
1053 0.0520468358391752 0 0 0 0 0 0 0 0 0 995 58 0
1054 0.0536854271610095 0 0 0 0 0 0 0 0 0 994 60 0
1055 0.055314121425844 0 0 0 0 0 0 0 0 0 993 62 0
1056 0.0569329660238751 0 0 0 0 0 0 0 0 0 992 64 0
1057 0.0585420080930929 0 0 0 0 0 0 0 0 0 991 66 0
1058 0.0601412945208172 0 0 0 0 0 0 0 0 0 990 68 0
1059 0.0617308719452224 0 0 0 0 0 0 0 0 0 989 70 0
1060 0.063310786756853 0 0 0 0 0 0 0 0 0 988 72 0
1061 0.0648810851001269 0 0 0 0 0 0 0 0 0 987 74 0
1062 0.0664418128748302 0 0 0 0 0 0 0 0 0 986 76 0
1063 0.0679930157375999 0 0 0 0 0 0 0 0 0 985 78 0
1064 0.0695347391033976 0 0 0 0 0 0 0 0 0 984 80 0
1065 0.0710670281469726 0 0 0 0 0 0 0 0 0 983 82 0
1066 0.0725899278043148 0 0 0 0 0 0 0 0 0 982 84 0
1067 0.074103482774098 0 0 0 0 0 0 0 0 0 981 86 0
1068 0.0756077375191123 0 0 0 0 0 0 0 0 0 980 88 0
1069 0.0771027362676885 0 0 0 0 0 0 0 0 0 979 90 0
1070 0.0785885230151105 0 0 0 0 0 0 0 0 0 978 92 0
1071 0.0800651415250196 0 0 0 0 0 0 0 0 0 977 94 0
1072 0.0815326353308086 0 0 0 0 0 0 0 0 0 976 96 0
1073 0.0829910477370065 0 0 0 0 0 0 0 0 0 975 98 0
1074 0.0844404218206534 0 0 0 0 0 0 0 0 0 974 100 0
1075 0.0858808004326663 0 0 0 0 0 0 0 0 0 973 102 0
1076 0.0873122261991957 0 0 0 0 0 0 0 0 0 972 104 0
1077 0.0887347415229725 0 0 0 0 0 0 0 0 0 971 106 0
1078 0.0901483885846462 0 0 0 0 0 0 0 0 0 970 108 0
1079 0.0915532093441135 0 0 0 0 0 0 0 0 0 969 110 0
1080 0.0929492455418381 0 0 0 0 0 0 0 0 0 968 112 0
1081 0.094336538700162 0 0 0 0 0 0 0 0 0 967 114 0
1082 0.0957151301246067 0 0 0 0 0 0 0 0 0 966 116 0
1083 0.0970850609051667 0 0 0 0 0 0 0 0 0 965 118 0
1084 0.0984463719175937 0 0 0 0 0 0 0 0 0 964 120 0
1085 0.0997991038246724 0 0 0 0 0 0 0 0 0 963 122 0
1086 0.101143297077487 0 0 0 0 0 0 0 0 0 962 124 0
1087 0.10247899191668 0 0 0 0 0 0 0 0 0 961 126 0
1088 0.103806228373702 0 0 0 0 0 0 0 0 0 960 128 0
1089 0.105125046272054 0 0 0 0 0 0 0 0 0 959 130 0
1090 0.106435485228516 0 0 0 0 0 0 0 0 0 958 132 0
1091 0.10773758465438 0 0 0 0 0 0 0 0 0 957 134 0
1092 0.109031383756658 0 0 0 0 0 0 0 0 0 956 136 0
1093 0.110316921539297 0 0 0 0 0 0 0 0 0 955 138 0
1094 0.111594236804374 0 0 0 0 0 0 0 0 0 954 140 0
1095 0.112863368153291 0 0 0 0 0 0 0 0 0 953 142 0
1096 0.114124353987959 0 0 0 0 0 0 0 0 0 952 144 0
1097 0.115377232511972 0 0 0 0 0 0 0 0 0 951 146 0
1098 0.116622041731779 0 0 0 0 0 0 0 0 0 950 148 0
1099 0.117858819457841 0 0 0 0 0 0 0 0 0 949 150 0
1100 0.119087603305785 0 0 0 0 0 0 0 0 0 948 152 0
1101 0.120308430697549 0 0 0 0 0 0 0 0 0 947 154 0
1102 0.12152133886252 0 0 0 0 0 0 0 0 0 946 156 0
1103 0.122726364838662 0 0 0 0 0 0 0 0 0 945 158 0
1104 0.12392354547364 0 0 0 0 0 0 0 0 0 944 160 0
1105 0.125112917425933 0 0 0 0 0 0 0 0 0 943 162 0
1106 0.126294517165943 0 0 0 0 0 0 0 0 0 942 164 0
1107 0.127468380977095 0 0 0 0 0 0 0 0 0 941 166 0
1108 0.128634544956926 0 0 0 0 0 0 0 0 0 940 168 0
1109 0.129793045018177 0 0 0 0 0 0 0 0 0 939 170 0
1110 0.130943916889863 0 0 0 0 0 0 0 0 0 938 172 0
1111 0.132087196118352 0 0 0 0 0 0 0 0 0 937 174 0
1112 0.133222918068423 0 0 0 0 0 0 0 0 0 936 176 0
1113 0.134351117924326 0 0 0 0 0 0 0 0 0 935 178 0
1114 0.135471830690832 0 0 0 0 0 0 0 0 0 934 180 0
1115 0.136585091194273 0 0 0 0 0 0 0 0 0 933 182 0
1116 0.137690934083581 0 0 0 0 0 0 0 0 0 932 184 0
1117 0.138789393831315 0 0 0 0 0 0 0 0 0 931 186 0
1118 0.139880504734688 0 0 0 0 0 0 0 0 0 930 188 0
1119 0.140964300916575 0 0 0 0 0 0 0 0 0 929 190 0
1120 0.142040816326531 0 0 0 0 0 0 0 0 0 928 192 0
1121 0.143110084741784 0 0 0 0 0 0 0 0 0 927 194 0
1122 0.144172139768239 0 0 0 0 0 0 0 0 0 926 196 0
1123 0.145227014841463 0 0 0 0 0 0 0 0 0 925 198 0
1124 0.146274743227669 0 0 0 0 0 0 0 0 0 924 200 0
1125 0.147315358024691 0 0 0 0 0 0 0 0 0 923 202 0
1126 0.148348892162956 0 0 0 0 0 0 0 0 0 922 204 0
1127 0.149375378406445 0 0 0 0 0 0 0 0 0 921 206 0
1128 0.150394849353654 0 0 0 0 0 0 0 0 0 920 208 0
1129 0.151407337438542 0 0 0 0 0 0 0 0 0 919 210 0
1130 0.152412874931475 0 0 0 0 0 0 0 0 0 918 212 0
1131 0.153411493940169 0 0 0 0 0 0 0 0 0 917 214 0
1132 0.154403226410618 0 0 0 0 0 0 0 0 0 916 216 0
1133 0.155388104128025 0 0 0 0 0 0 0 0 0 915 218 0
1134 0.156366158717717 0 0 0 0 0 0 0 0 0 914 220 0
1135 0.157337421646063 0 0 0 0 0 0 0 0 0 913 222 0
1136 0.158301924221385 0 0 0 0 0 0 0 0 0 912 224 0
1137 0.159259697594853 0 0 0 0 0 0 0 0 0 911 226 0
1138 0.160210772761389 0 0 0 0 0 0 0 0 0 910 228 0
1139 0.161155180560555 0 0 0 0 0 0 0 0 0 909 230 0
1140 0.162092951677439 0 0 0 0 0 0 0 0 0 908 232 0
1141 0.163024116643533 0 0 0 0 0 0 0 0 0 907 234 0
1142 0.163948705837609 0 0 0 0 0 0 0 0 0 906 236 0
1143 0.164866749486585 0 0 0 0 0 0 0 0 0 905 238 0
1144 0.16577827766639 0 0 0 0 0 0 0 0 0 904 240 0
