"n" "Min_V" "d1" "d2" "d3" "d4" "d5" "d6" "d7" "d8" "d9" "d10" "d11" "d12" "d13"
2048 0 0 0 0 0 0 0 0 0 0 0 2048 0 0
2049 0.0009751331518833 0 0 0 0 0 0 0 0 0 0 2047 2 0
2050 0.00194741225461035 0 0 0 0 0 0 0 0 0 0 2046 4 0
2051 0.00291684426452616 0 0 0 0 0 0 0 0 0 0 2045 6 0
2052 0.00388343611899578 0 0 0 0 0 0 0 0 0 0 2044 8 0
2053 0.00484719473646374 0 0 0 0 0 0 0 0 0 0 2043 10 0
2054 0.00580812701651325 0 0 0 0 0 0 0 0 0 0 2042 12 0
2055 0.00676623983992517 0 0 0 0 0 0 0 0 0 0 2041 14 0
2056 0.00772154006873685 0 0 0 0 0 0 0 0 0 0 2040 16 0
2057 0.00867403454630063 0 0 0 0 0 0 0 0 0 0 2039 18 0
2058 0.00962373009734228 0 0 0 0 0 0 0 0 0 0 2038 20 0
2059 0.0105706335280191 0 0 0 0 0 0 0 0 0 0 2037 22 0
2060 0.0115147516259779 0 0 0 0 0 0 0 0 0 0 2036 24 0
2061 0.0124560911604128 0 0 0 0 0 0 0 0 0 0 2035 26 0
2062 0.0133946588821227 0 0 0 0 0 0 0 0 0 0 2034 28 0
2063 0.0143304615235684 0 0 0 0 0 0 0 0 0 0 2033 30 0
2064 0.0152635057989304 0 0 0 0 0 0 0 0 0 0 2032 32 0
2065 0.0161937984041649 0 0 0 0 0 0 0 0 0 0 2031 34 0
2066 0.0171213460170614 0 0 0 0 0 0 0 0 0 0 2030 36 0
2067 0.0180461552972986 0 0 0 0 0 0 0 0 0 0 2029 38 0
2068 0.0189682328865011 0 0 0 0 0 0 0 0 0 0 2028 40 0
2069 0.0198875854082954 0 0 0 0 0 0 0 0 0 0 2027 42 0
2070 0.0208042194683657 0 0 0 0 0 0 0 0 0 0 2026 44 0
2071 0.0217181416545097 0 0 0 0 0 0 0 0 0 0 2025 46 0
