"n" "Min_V" "d1" "d2" "d3" "d4" "d5" "d6" "d7" "d8" "d9" "d10" "d11" "d12" "d13" "d14"
4096 0 0 0 0 0 0 0 0 0 0 0 0 4096 0 0
4097 0.000487923767600778 0 0 0 0 0 0 0 0 0 0 0 4095 2 0
4098 0.0009751331518833 0 0 0 0 0 0 0 0 0 0 0 4094 4 0
4099 0.00146162902417425 0 0 0 0 0 0 0 0 0 0 0 4093 6 0
4100 0.00194741225461035 0 0 0 0 0 0 0 0 0 0 0 4092 8 0
4101 0.0024324837121402 0 0 0 0 0 0 0 0 0 0 0 4091 10 0
4102 0.00291684426452616 0 0 0 0 0 0 0 0 0 0 0 4090 12 0
4103 0.0034004947783462 0 0 0 0 0 0 0 0 0 0 0 4089 14 0
4104 0.00388343611899578 0 0 0 0 0 0 0 0 0 0 0 4088 16 0
4105 0.00436566915068965 0 0 0 0 0 0 0 0 0 0 0 4087 18 0
4106 0.00484719473646374 0 0 0 0 0 0 0 0 0 0 0 4086 20 0
4107 0.00532801373817701 0 0 0 0 0 0 0 0 0 0 0 4085 22 0
4108 0.00580812701651325 0 0 0 0 0 0 0 0 0 0 0 4084 24 0
4109 0.00628753543098296 0 0 0 0 0 0 0 0 0 0 0 4083 26 0
4110 0.00676623983992517 0 0 0 0 0 0 0 0 0 0 0 4082 28 0
4111 0.00724424110050927 0 0 0 0 0 0 0 0 0 0 0 4081 30 0
4112 0.00772154006873685 0 0 0 0 0 0 0 0 0 0 0 4080 32 0
4113 0.00819813759944349 0 0 0 0 0 0 0 0 0 0 0 4079 34 0
4114 0.00867403454630063 0 0 0 0 0 0 0 0 0 0 0 4078 36 0
4115 0.00914923176181737 0 0 0 0 0 0 0 0 0 0 0 4077 38 0
4116 0.00962373009734228 0 0 0 0 0 0 0 0 0 0 0 4076 40 0
4117 0.0100975304030652 0 0 0 0 0 0 0 0 0 0 0 4075 42 0
4118 0.0105706335280191 0 0 0 0 0 0 0 0 0 0 0 4074 44 0
4119 0.0110430403200818 0 0 0 0 0 0 0 0 0 0 0 4073 46 0
4120 0.0115147516259779 0 0 0 0 0 0 0 0 0 0 0 4072 48 0
4121 0.0119857682912805 0 0 0 0 0 0 0 0 0 0 0 4071 50 0
4122 0.0124560911604128 0 0 0 0 0 0 0 0 0 0 0 4070 52 0
4123 0.0129257210766505 0 0 0 0 0 0 0 0 0 0 0 4069 54 0
4124 0.0133946588821227 0 0 0 0 0 0 0 0 0 0 0 4068 56 0
4125 0.0138629054178145 0 0 0 0 0 0 0 0 0 0 0 4067 58 0
4126 0.0143304615235684 0 0 0 0 0 0 0 0 0 0 0 4066 60 0
4127 0.0147973280380861 0 0 0 0 0 0 0 0 0 0 0 4065 62 0
4128 0.0152635057989304 0 0 0 0 0 0 0 0 0 0 0 4064 64 0
4129 0.0157289956425266 0 0 0 0 0 0 0 0 0 0 0 4063 66 0
4130 0.0161937984041649 0 0 0 0 0 0 0 0 0 0 0 4062 68 0
4131 0.0166579149180017 0 0 0 0 0 0 0 0 0 0 0 4061 70 0
4132 0.0171213460170614 0 0 0 0 0 0 0 0 0 0 0 4060 72 0
4133 0.0175840925332384 0 0 0 0 0 0 0 0 0 0 0 4059 74 0
4134 0.0180461552972986 0 0 0 0 0 0 0 0 0 0 0 4058 76 0
4135 0.0185075351388814 0 0 0 0 0 0 0 0 0 0 0 4057 78 0
4136 0.0189682328865011 0 0 0 0 0 0 0 0 0 0 0 4056 80 0
4137 0.0194282493675492 0 0 0 0 0 0 0 0 0 0 0 4055 82 0
4138 0.0198875854082954 0 0 0 0 0 0 0 0 0 0 0 4054 84 0
4139 0.0203462418338901 0 0 0 0 0 0 0 0 0 0 0 4053 86 0
4140 0.0208042194683657 0 0 0 0 0 0 0 0 0 0 0 4052 88 0
4141 0.0212615191346383 0 0 0 0 0 0 0 0 0 0 0 4051 90 0
4142 0.0217181416545097 0 0 0 0 0 0 0 0 0 0 0 4050 92 0
4143 0.0221740878486691 0 0 0 0 0 0 0 0 0 0 0 4049 94 0
4144 0.0226293585366944 0 0 0 0 0 0 0 0 0 0 0 4048 96 0
4145 0.0230839545370547 0 0 0 0 0 0 0 0 0 0 0 4047 98 0
4146 0.0235378766671111 0 0 0 0 0 0 0 0 0 0 0 4046 100 0
4147 0.0239911257431193 0 0 0 0 0 0 0 0 0 0 0 4045 102 0
4148 0.0244437025802306 0 0 0 0 0 0 0 0 0 0 0 4044 104 0
4149 0.0248956079924941 0 0 0 0 0 0 0 0 0 0 0 4043 106 0
4150 0.0253468427928582 0 0 0 0 0 0 0 0 0 0 0 4042 108 0
4151 0.0257974077931722 0 0 0 0 0 0 0 0 0 0 0 4041 110 0
4152 0.0262473038041884 0 0 0 0 0 0 0 0 0 0 0 4040 112 0
4153 0.0266965316355633 0 0 0 0 0 0 0 0 0 0 0 4039 114 0
4154 0.0271450920958597 0 0 0 0 0 0 0 0 0 0 0 4038 116 0
4155 0.0275929859925481 0 0 0 0 0 0 0 0 0 0 0 4037 118 0
4156 0.0280402141320085 0 0 0 0 0 0 0 0 0 0 0 4036 120 0
4157 0.0284867773195324 0 0 0 0 0 0 0 0 0 0 0 4035 122 0
4158 0.0289326763593238 0 0 0 0 0 0 0 0 0 0 0 4034 124 0
4159 0.0293779120545015 0 0 0 0 0 0 0 0 0 0 0 4033 126 0
4160 0.0298224852071006 0 0 0 0 0 0 0 0 0 0 0 4032 128 0
4161 0.030266396618074 0 0 0 0 0 0 0 0 0 0 0 4031 130 0
4162 0.0307096470872942 0 0 0 0 0 0 0 0 0 0 0 4030 132 0
4163 0.0311522374135552 0 0 0 0 0 0 0 0 0 0 0 4029 134 0
4164 0.0315941683945737 0 0 0 0 0 0 0 0 0 0 0 4028 136 0
4165 0.0320354408269911 0 0 0 0 0 0 0 0 0 0 0 4027 138 0
4166 0.032476055506375 0 0 0 0 0 0 0 0 0 0 0 4026 140 0
4167 0.0329160132272212 0 0 0 0 0 0 0 0 0 0 0 4025 142 0
4168 0.0333553147829547 0 0 0 0 0 0 0 0 0 0 0 4024 144 0
4169 0.033793960965932 0 0 0 0 0 0 0 0 0 0 0 4023 146 0
4170 0.0342319525674425 0 0 0 0 0 0 0 0 0 0 0 4022 148 0
4171 0.0346692903777099 0 0 0 0 0 0 0 0 0 0 0 4021 150 0
4172 0.0351059751858944 0 0 0 0 0 0 0 0 0 0 0 4020 152 0
4173 0.0355420077800937 0 0 0 0 0 0 0 0 0 0 0 4019 154 0
4174 0.0359773889473453 0 0 0 0 0 0 0 0 0 0 0 4018 156 0
4175 0.0364121194736276 0 0 0 0 0 0 0 0 0 0 0 4017 158 0
4176 0.0368462001438617 0 0 0 0 0 0 0 0 0 0 0 4016 160 0
4177 0.037279631741913 0 0 0 0 0 0 0 0 0 0 0 4015 162 0
4178 0.0377124150505933 0 0 0 0 0 0 0 0 0 0 0 4014 164 0
4179 0.0381445508516614 0 0 0 0 0 0 0 0 0 0 0 4013 166 0
4180 0.0385760399258259 0 0 0 0 0 0 0 0 0 0 0 4012 168 0
4181 0.0390068830527458 0 0 0 0 0 0 0 0 0 0 0 4011 170 0
4182 0.0394370810110329 0 0 0 0 0 0 0 0 0 0 0 4010 172 0
4183 0.0398666345782529 0 0 0 0 0 0 0 0 0 0 0 4009 174 0
4184 0.0402955445309272 0 0 0 0 0 0 0 0 0 0 0 4008 176 0
4185 0.0407238116445347 0 0 0 0 0 0 0 0 0 0 0 4007 178 0
4186 0.0411514366935128 0 0 0 0 0 0 0 0 0 0 0 4006 180 0
4187 0.0415784204512597 0 0 0 0 0 0 0 0 0 0 0 4005 182 0
4188 0.0420047636901357 0 0 0 0 0 0 0 0 0 0 0 4004 184 0
4189 0.0424304671814648 0 0 0 0 0 0 0 0 0 0 0 4003 186 0
4190 0.042855531695536 0 0 0 0 0 0 0 0 0 0 0 4002 188 0
4191 0.0432799580016056 0 0 0 0 0 0 0 0 0 0 0 4001 190 0
4192 0.0437037468678981 0 0 0 0 0 0 0 0 0 0 0 4000 192 0
4193 0.0441268990616082 0 0 0 0 0 0 0 0 0 0 0 3999 194 0
4194 0.044549415348902 0 0 0 0 0 0 0 0 0 0 0 3998 196 0
4195 0.0449712964949192 0 0 0 0 0 0 0 0 0 0 0 3997 198 0
4196 0.0453925432637738 0 0 0 0 0 0 0 0 0 0 0 3996 200 0
4197 0.0458131564185567 0 0 0 0 0 0 0 0 0 0 0 3995 202 0
4198 0.0462331367213363 0 0 0 0 0 0 0 0 0 0 0 3994 204 0
4199 0.0466524849331606 0 0 0 0 0 0 0 0 0 0 0 3993 206 0
4200 0.047071201814059 0 0 0 0 0 0 0 0 0 0 0 3992 208 0
4201 0.047489288123043 0 0 0 0 0 0 0 0 0 0 0 3991 210 0
4202 0.0479067446181087 0 0 0 0 0 0 0 0 0 0 0 3990 212 0
4203 0.0483235720562378 0 0 0 0 0 0 0 0 0 0 0 3989 214 0
4204 0.0487397711933992 0 0 0 0 0 0 0 0 0 0 0 3988 216 0
