"n" "Min_V" "d1" "d2" "d3" "d4" "d5" "d6" "d7" "d8" "d9" "d10"
256 0 0 0 0 0 0 0 0 256 0 0
257 0.00772154006873685 0 0 0 0 0 0 0 255 2 0
258 0.0152635057989304 0 0 0 0 0 0 0 254 4 0
259 0.0226293585366944 0 0 0 0 0 0 0 253 6 0
260 0.0298224852071006 0 0 0 0 0 0 0 252 8 0
261 0.0368462001438617 0 0 0 0 0 0 0 251 10 0
262 0.0437037468678981 0 0 0 0 0 0 0 250 12 0
263 0.0503982998163917 0 0 0 0 0 0 0 249 14 0
264 0.0569329660238751 0 0 0 0 0 0 0 248 16 0
265 0.063310786756853 0 0 0 0 0 0 0 247 18 0
266 0.0695347391033976 0 0 0 0 0 0 0 246 20 0
267 0.0756077375191123 0 0 0 0 0 0 0 245 22 0
268 0.0815326353308086 0 0 0 0 0 0 0 244 24 0
269 0.0873122261991957 0 0 0 0 0 0 0 243 26 0
270 0.0929492455418381 0 0 0 0 0 0 0 242 28 0
271 0.0984463719175937 0 0 0 0 0 0 0 241 30 0
272 0.103806228373702 0 0 0 0 0 0 0 240 32 0
273 0.109031383756658 0 0 0 0 0 0 0 239 34 0
274 0.114124353987959 0 0 0 0 0 0 0 238 36 0
275 0.119087603305785 0 0 0 0 0 0 0 237 38 0
276 0.12392354547364 0 0 0 0 0 0 0 236 40 0
277 0.128634544956926 0 0 0 0 0 0 0 235 42 0
278 0.133222918068423 0 0 0 0 0 0 0 234 44 0
279 0.137690934083581 0 0 0 0 0 0 0 233 46 0
280 0.142040816326531 0 0 0 0 0 0 0 232 48 0
281 0.146274743227669 0 0 0 0 0 0 0 231 50 0
282 0.150394849353654 0 0 0 0 0 0 0 230 52 0
283 0.154403226410618 0 0 0 0 0 0 0 229 54 0
284 0.158301924221385 0 0 0 0 0 0 0 228 56 0
285 0.162092951677439 0 0 0 0 0 0 0 227 58 0
286 0.16577827766639 0 0 0 0 0 0 0 226 60 0
287 0.169359831975622 0 0 0 0 0 0 0 225 62 0
288 0.172839506172839 0 0 0 0 0 0 0 224 64 0
289 0.176219154464147 0 0 0 0 0 0 0 223 66 0
290 0.179500594530321 0 0 0 0 0 0 0 222 68 0
291 0.182685608341895 0 0 0 0 0 0 0 221 70 0
292 0.18577594295365 0 0 0 0 0 0 0 220 72 0
293 0.188773311279106 0 0 0 0 0 0 0 219 74 0
294 0.191679392845574 0 0 0 0 0 0 0 218 76 0
295 0.194495834530307 0 0 0 0 0 0 0 217 78 0
296 0.197224251278305 0 0 0 0 0 0 0 216 80 0
297 0.199866226802254 0 0 0 0 0 0 0 215 82 0
298 0.202423314265123 0 0 0 0 0 0 0 214 84 0
299 0.204897036945895 0 0 0 0 0 0 0 213 86 0
300 0.207288888888889 0 0 0 0 0 0 0 212 88 0
301 0.209600335537135 0 0 0 0 0 0 0 211 90 0
302 0.211832814350248 0 0 0 0 0 0 0 210 92 0
303 0.213987735407204 0 0 0 0 0 0 0 209 94 0
304 0.21606648199446 0 0 0 0 0 0 0 208 96 0
305 0.21807041117979 0 0 0 0 0 0 0 207 98 0
306 0.22000085437225 0 0 0 0 0 0 0 206 100 0
307 0.221859117868625 0 0 0 0 0 0 0 205 102 0
308 0.223646483386743 0 0 0 0 0 0 0 204 104 0
309 0.225364208586001 0 0 0 0 0 0 0 203 106 0
310 0.227013527575442 0 0 0 0 0 0 0 202 108 0
311 0.228595651409725 0 0 0 0 0 0 0 201 110 0
312 0.230111768573307 0 0 0 0 0 0 0 200 112 0
313 0.231563045453154 0 0 0 0 0 0 0 199 114 0
314 0.232950626800276 0 0 0 0 0 0 0 198 116 0
315 0.234275636180398 0 0 0 0 0 0 0 197 118 0
316 0.235539176414036 0 0 0 0 0 0 0 196 120 0
317 0.236742330006269 0 0 0 0 0 0 0 195 122 0
318 0.237886159566473 0 0 0 0 0 0 0 194 124 0
319 0.238971708218276 0 0 0 0 0 0 0 193 126 0
320 0.24 0 0 0 0 0 0 0 192 128 0
321 0.240972040255821 0 0 0 0 0 0 0 191 130 0
322 0.241888816017901 0 0 0 0 0 0 0 190 132 0
323 0.242751296379722 0 0 0 0 0 0 0 189 134 0
324 0.243560432860844 0 0 0 0 0 0 0 188 136 0
325 0.244317159763314 0 0 0 0 0 0 0 187 138 0
326 0.245022394519929 0 0 0 0 0 0 0 186 140 0
327 0.245677038034584 0 0 0 0 0 0 0 185 142 0
328 0.246281975014872 0 0 0 0 0 0 0 184 144 0
329 0.24683807429717 0 0 0 0 0 0 0 183 146 0
330 0.247346189164371 0 0 0 0 0 0 0 182 148 0
331 0.247807157656465 0 0 0 0 0 0 0 181 150 0
332 0.248221802874147 0 0 0 0 0 0 0 180 152 0
333 0.248590933275618 0 0 0 0 0 0 0 179 154 0
