"n" "Min_V" "d1" "d2" "d3" "d4" "d5" "d6" "d7" "d8" "d9" "d10" "d11"
512 0 0 0 0 0 0 0 0 0 512 0 0
513 0.00388343611899578 0 0 0 0 0 0 0 0 511 2 0
514 0.00772154006873685 0 0 0 0 0 0 0 0 510 4 0
515 0.0115147516259779 0 0 0 0 0 0 0 0 509 6 0
516 0.0152635057989304 0 0 0 0 0 0 0 0 508 8 0
517 0.0189682328865011 0 0 0 0 0 0 0 0 507 10 0
518 0.0226293585366944 0 0 0 0 0 0 0 0 506 12 0
519 0.0262473038041884 0 0 0 0 0 0 0 0 505 14 0
520 0.0298224852071006 0 0 0 0 0 0 0 0 504 16 0
521 0.0333553147829547 0 0 0 0 0 0 0 0 503 18 0
522 0.0368462001438617 0 0 0 0 0 0 0 0 502 20 0
523 0.0402955445309272 0 0 0 0 0 0 0 0 501 22 0
524 0.0437037468678981 0 0 0 0 0 0 0 0 500 24 0
525 0.047071201814059 0 0 0 0 0 0 0 0 499 26 0
526 0.0503982998163917 0 0 0 0 0 0 0 0 498 28 0
527 0.0536854271610095 0 0 0 0 0 0 0 0 497 30 0
528 0.0569329660238751 0 0 0 0 0 0 0 0 496 32 0
529 0.0601412945208172 0 0 0 0 0 0 0 0 495 34 0
530 0.063310786756853 0 0 0 0 0 0 0 0 494 36 0
531 0.0664418128748302 0 0 0 0 0 0 0 0 493 38 0
532 0.0695347391033976 0 0 0 0 0 0 0 0 492 40 0
533 0.0725899278043148 0 0 0 0 0 0 0 0 491 42 0
534 0.0756077375191123 0 0 0 0 0 0 0 0 490 44 0
535 0.0785885230151105 0 0 0 0 0 0 0 0 489 46 0
536 0.0815326353308086 0 0 0 0 0 0 0 0 488 48 0
537 0.0844404218206534 0 0 0 0 0 0 0 0 487 50 0
538 0.0873122261991957 0 0 0 0 0 0 0 0 486 52 0
539 0.0901483885846462 0 0 0 0 0 0 0 0 485 54 0
540 0.0929492455418381 0 0 0 0 0 0 0 0 484 56 0
541 0.0957151301246067 0 0 0 0 0 0 0 0 483 58 0
542 0.0984463719175937 0 0 0 0 0 0 0 0 482 60 0
543 0.101143297077487 0 0 0 0 0 0 0 0 481 62 0
544 0.103806228373702 0 0 0 0 0 0 0 0 480 64 0
545 0.106435485228516 0 0 0 0 0 0 0 0 479 66 0
546 0.109031383756658 0 0 0 0 0 0 0 0 478 68 0
547 0.111594236804374 0 0 0 0 0 0 0 0 477 70 0
548 0.114124353987959 0 0 0 0 0 0 0 0 476 72 0
549 0.116622041731779 0 0 0 0 0 0 0 0 475 74 0
550 0.119087603305785 0 0 0 0 0 0 0 0 474 76 0
551 0.12152133886252 0 0 0 0 0 0 0 0 473 78 0
552 0.12392354547364 0 0 0 0 0 0 0 0 472 80 0
553 0.126294517165943 0 0 0 0 0 0 0 0 471 82 0
554 0.128634544956926 0 0 0 0 0 0 0 0 470 84 0
555 0.130943916889863 0 0 0 0 0 0 0 0 469 86 0
556 0.133222918068423 0 0 0 0 0 0 0 0 468 88 0
557 0.135471830690832 0 0 0 0 0 0 0 0 467 90 0
558 0.137690934083581 0 0 0 0 0 0 0 0 466 92 0
559 0.139880504734688 0 0 0 0 0 0 0 0 465 94 0
560 0.142040816326531 0 0 0 0 0 0 0 0 464 96 0
561 0.144172139768239 0 0 0 0 0 0 0 0 463 98 0
562 0.146274743227669 0 0 0 0 0 0 0 0 462 100 0
563 0.148348892162956 0 0 0 0 0 0 0 0 461 102 0
564 0.150394849353654 0 0 0 0 0 0 0 0 460 104 0
565 0.152412874931475 0 0 0 0 0 0 0 0 459 106 0
566 0.154403226410618 0 0 0 0 0 0 0 0 458 108 0
567 0.156366158717717 0 0 0 0 0 0 0 0 457 110 0
568 0.158301924221385 0 0 0 0 0 0 0 0 456 112 0
